repo_name,description,tech_stack,stars,status,url,tags
RiceAgent-Pro,"Offline-first mobile business management app for rice distribution. Features inventory tracking, invoice generation, customer management, and sales analytics with full offline capability using Drift ORM and Riverpod state management.",Flutter|Dart|Drift ORM|Riverpod|SQLite|Firebase,12,active,https://github.com/ganeshgiridhar/riceagent-pro,flutter|offline-first|business|family|mobile|rice-distribution
ExecuCode,"AI-powered code grading platform using multi-agent architecture. Automated evaluation of code submissions with intelligent feedback generation via Gemini API and LangChain agent loops.",Python|FastAPI|Gemini API|LangChain|React,8,active,https://github.com/ganeshgiridhar/execucode,ai|agents|code-grading|education|fastapi|langchain
FLIP-WARS,"Competitive strategy game implementing advanced algorithm optimizations including Minimax with Alpha-Beta pruning, Zobrist hashing for state deduplication, and iterative deepening for move computation.",Java|Algorithms|Minimax|Alpha-Beta Pruning|Zobrist Hashing,15,completed,https://github.com/ganeshgiridhar/flip-wars,java|algorithms|game|minimax|optimization|competitive
CrowdIQ,"Real-time event management and crowd intelligence platform. Features live attendee tracking, event analytics dashboards, and smart crowd flow optimization.",React|Node.js|Express.js|MongoDB|Socket.io,5,completed,https://github.com/ganeshgiridhar/crowdiq,react|events|real-time|analytics|crowd-management
Retirement-Calculator,"Personal finance retirement planning tool with compound interest projections, inflation adjustment, and investment portfolio simulation.",Next.js|React|TypeScript|Tailwind CSS,3,completed,https://github.com/ganeshgiridhar/retirement-calculator,fintech|next-js|finance|planning|calculator
Pathway-RAG,"Enterprise-grade Retrieval-Augmented Generation pipeline using Pathway AI framework. Features real-time document ingestion, semantic chunking, vector search, and LLM-powered response generation.",Python|Pathway AI|LangChain|FastAPI|PostgreSQL,10,active,https://github.com/ganeshgiridhar/pathway-rag,ai|rag|enterprise|pathway|langchain|vector-search
ShopEase,"Full-featured e-commerce platform with product catalog, cart management, user authentication, and order tracking. Built during CodSoft internship.",MongoDB|Express.js|React|Node.js|JWT|Tailwind CSS,4,completed,https://github.com/ganeshgiridhar/shopease,mern|e-commerce|codsoft|full-stack|web
ProjectHub,"Collaborative project management tool with task tracking, milestone management, team collaboration, and analytics dashboards. Built during CodSoft internship.",MongoDB|Express.js|React|Node.js|JWT|Tailwind CSS,3,completed,https://github.com/ganeshgiridhar/projecthub,mern|project-management|codsoft|full-stack|collaboration
GST-Automation,"Automated GST invoice generation and tax calculation workflows for small business operations. Built using n8n workflow automation for the family rice distribution business.",n8n|PostgreSQL|REST APIs|Workflow Automation,2,active,https://github.com/ganeshgiridhar/gst-automation,n8n|automation|gst|tax|family-business|workflow
Dispute-De-Escalator,"AI-powered dispute resolution and de-escalation tool. Uses NLP to analyze conflict patterns and suggest resolution strategies.",Python|NLP|Gemini API|FastAPI,6,completed,https://github.com/ganeshgiridhar/dispute-de-escalator,ai|nlp|conflict-resolution|gemini|dispute
Personal-RAG-DB,"Structured personal knowledge base optimized for RAG retrieval. Contains biographical, professional, project, and psychological profile data in CSV, JSON, YAML, and Markdown formats.",CSV|JSON|YAML|Markdown,1,active,https://github.com/ganeshgiridhar/personal-rag-db,rag|personal|knowledge-base|data|structured
Portfolio-Website,"Personal developer portfolio website showcasing projects, experience, and technical writing. Cyberpunk aesthetic with fast, functional design.",Next.js|React|Tailwind CSS|Vercel,2,in_development,https://github.com/ganeshgiridhar/portfolio-website,portfolio|next-js|web|personal|cyberpunk
RiceAgent-GST-Integration,"Bridge module connecting RiceAgent Pro mobile app with n8n GST automation workflows. Enables seamless data flow between field operations and tax compliance.",Dart|REST APIs|n8n|Firebase,1,in_development,https://github.com/ganeshgiridhar/riceagent-gst-integration,flutter|n8n|integration|gst|automation
Hackathon-Solutions,"Collection of hackathon project codebases from Synaptix (IIT Madras), Gemini 3, HDFC FinCal, Meta PyTorch, and IIT Kharagpur Data Hack competitions.",Python|React|Java|Various,3,archived,https://github.com/ganeshgiridhar/hackathon-solutions,hackathon|competitive|collection|various
Algorithm-Practice,"Data structures and algorithms practice repository with solutions in Java and Python. Covers arrays, trees, graphs, dynamic programming, and competitive programming patterns.",Java|Python|DSA,2,active,https://github.com/ganeshgiridhar/algorithm-practice,dsa|algorithms|java|python|practice|competitive
