project_name,type,status,start_date,end_date,role,tech_stack,description,key_features,impact_metrics,repository,importance_score (1-10),tags
RiceAgent Pro,Mobile Application,Active Development,2025,,Lead Developer & Architect,"Flutter|Dart|Riverpod|Drift (SQLite)","Offline-first mobile automation platform for rice distribution, solving real operational workflows for family business.","Wholesaler management|GST billing|Excel imports|WhatsApp integration|Analytics dashboard|Offline sync architecture","Real users in family business|Handles daily distribution operations|Offline-capable for warehouse environments",/RICE_APP,10,offline-first|business-automation|supply-chain|mobile|real-world-impact|family
ExecuCode,AI Platform,Completed,2026,2026,Full-Stack Developer,"Python|FastAPI|Gemini API|Docker|OpenEnv","AI-powered multi-objective code grading environment using autonomous agent loops and RL-style evaluation wrappers.","Deterministic grading via AST analysis|Gemini agent loops|OpenEnv integration|Sandboxed Docker execution|FastAPI backend","Built for Meta PyTorch OpenEnv Challenge|Autonomous AI evaluation pipeline",/meta---hackathon,9,ai-agents|code-evaluation|llm|reinforcement-learning|infrastructure|hackathon
FLIP WARS,Desktop Game,Completed,2025,2025,Developer & Algorithm Designer,"Java|JavaFX|DAA Paradigms","Strategic tile-flipping game demonstrating advanced algorithms including Minimax with alpha-beta pruning and dynamic programming.","Alpha-beta pruning|Live AI metrics dashboard|Recursive backtracking|Zobrist hashing for state optimization|Graph modeling","Demonstrates advanced algorithm implementation|DAA course showcase project",/FLIP,9,algorithms|game-ai|java|optimization|daa|minimax|dynamic-programming
CrowdIQ,Web Application,Completed,2026,2026,Full-Stack Developer,"React|Firebase|Google Maps API|Gemini API","Real-time crowd intelligence and safety platform for large live events with AI-powered analysis.","AI chat via Gemini|Incident reporting with image analysis|Live venue maps|SOS alerts|Operations dashboard","Event safety management|Real-time incident response system",/Prompt-Wars---virtual-idea-to-prototype-,8,real-time|event-tech|ai-integration|firebase|crowd-analytics|safety
Life-Proof Retirement Calculator,Web Application,Completed,2026,2026,Full-Stack Developer,"Next.js|Node.js|MySQL|Canvas API","AI-assisted human-centered retirement planning tool with realistic financial modeling and accessibility focus.","Step-up SIP calculations|Dual-track inflation modeling|Geo-arbitrage scenarios|WCAG accessibility compliance|Privacy-preserving architecture","Built for HDFC FinCal Hackathon|Accessible fintech design",/FInCal--Hackathon,8,fintech|accessibility|product-thinking|nextjs|ai-explanation|hackathon
Pathway RAG Pipeline,AI Infrastructure,Completed,2026,2026,AI Engineer,"Python|Pathway AI|Docker|PostgreSQL|Kafka","Enterprise-grade RAG framework for live document indexing and real-time AI retrieval with hybrid search capabilities.","Live document indexing|Hybrid vector search|Multimodal extraction|Kafka-PostgreSQL synchronization|Real-time processing","Built for Gemini 3 Hackathon|Enterprise RAG architecture demonstration",/pathway_hackathon,8,ai-infrastructure|rag|vector-search|enterprise-ai|real-time|streaming
ShopEase,Web Application,Completed,2026,2026,Full-Stack Developer,"React|Node.js|Express|MongoDB|Tailwind CSS","Full-stack e-commerce platform built during CodSoft internship with comprehensive buyer and admin features.","JWT authentication|Cart reservation system|Coupon engine|Order tracking|Admin dashboard|Product comparison","CodSoft internship deliverable|Complete e-commerce workflow",/codsoft_task1,7,e-commerce|mern|full-stack|jwt|internship|codsoft
ProjectHub,Web Application,Completed,2026,2026,Full-Stack Developer,"React|Node.js|Express|MongoDB|Tailwind CSS|JWT|Helmet","Community-driven project management platform with role-based access control and Kanban workflows.","Join-request approval system|Progress tracking|Admin oversight|Activity timelines|RBAC|Kanban boards","CodSoft internship deliverable|Collaboration-focused platform",/codsoft_task2,7,project-management|collaboration|mern|kanban|rbac|internship|codsoft
Mess/Food Management System,Web Application,Completed,2025,2025,Backend Developer,"Node.js|Express|PostgreSQL|HTML/CSS/JS|Chart.js","Backend-heavy platform for digitizing mess operations in institutional settings with analytics.","Attendance tracking|Feedback module|Recipe suggestions|Notification broadcasts|Chart.js analytics dashboard","Institutional operations digitization|Data-driven mess management",/food-management-system-,7,backend|postgresql|institutional|analytics|operations
AI Studio Prototype,AI Application,Completed,2026,2026,Developer,"Node.js|Gemini API|AI Studio|JavaScript","Rapid AI application prototype built during the Gemini 3 Hackathon exploring AI Studio deployment patterns.","AI Studio deployment|Local dev setup|API-driven interaction|Rapid prototyping","Gemini 3 Hackathon entry|Rapid AI prototyping",/gemini--3-hackathon,6,ai-prototyping|gemini-api|hackathon|cloud-integration
Portfolio,Website,Active,2025,,Developer,"HTML|CSS|JavaScript|GitHub Pages","Centralized personal portfolio platform showcasing projects skills and career direction.","Project showcases|Responsive design|Professional branding|GitHub Pages hosting","Personal brand presence|Project discovery hub",/portfolio,6,frontend|personal-branding|showcase|portfolio
Tourism Website,Website,Completed,2025,2025,Developer,"HTML|CSS|JavaScript","Interactive platform for exploring Indian monuments and travel destinations with immersive UI.","State-wise navigation|Image slideshows|Immersive UI/UX design|Interactive exploration","Frontend design showcase|UI/UX practice project",/tourwebsite,5,frontend|ui-ux|travel|interactive|design
Sorting System,Script/Tool,Completed,2025,2025,Developer,"Python|Pandas","Algorithmic product ranking and organization system for commerce data processing.","Sorting by price/reviews|Data handling with Pandas|Algorithmic ranking","Data processing practice|Algorithm application",/product-sorting-system,5,algorithms|python|optimization|commerce|data-processing
GST Data Automation Workflow,Automation,Completed,2026,2026,Automation Engineer,"n8n|REST APIs","Automated GST data processing workflow using n8n visual automation platform with API integrations.","Automated data extraction|API integration chain|Batch processing|Visual workflow design","Processed 156 items in single workflow run|Real business data automation","",7,automation|gst|n8n|workflow|data-processing|business
